"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"X.SW...WBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.none.2",0.45,0.504,0.476,0.63,0.592,0.611,0.537,0.515,0.526,0.537
"X.CF...WBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.none",0.45,0.504,0.476,0.63,0.592,0.611,0.537,0.515,0.526,0.537
"X.TOK...WBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.none",0.45,0.504,0.476,0.63,0.592,0.611,0.537,0.515,0.526,0.537
"X.LC...WBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.none",0.45,0.504,0.476,0.63,0.592,0.611,0.537,0.515,0.526,0.537
"X.SW...WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.none.2",0.45,0.504,0.476,0.63,0.592,0.611,0.537,0.515,0.526,0.537
"X.CF...WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.none",0.45,0.504,0.476,0.63,0.592,0.611,0.537,0.515,0.526,0.537
"X.TOK...WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.none",0.45,0.504,0.476,0.63,0.592,0.611,0.537,0.515,0.526,0.537
"X.LC...WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.none",0.45,0.504,0.476,0.63,0.592,0.611,0.537,0.515,0.526,0.537
"X.TOK...WBSM_JiangConrath_tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none",0.456,0.514,0.483,0.615,0.578,0.596,0.537,0.515,0.526,0.535
"X.TOK...WBSM_AncSPLWeightedJiangConrath_tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none",0.456,0.514,0.483,0.615,0.578,0.596,0.537,0.515,0.526,0.535
"X.CF...WBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.blagec2019_ner.none",0.447,0.508,0.475,0.632,0.589,0.61,0.513,0.495,0.504,0.53
"X.CF...WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.blagec2019_ner.none",0.447,0.508,0.475,0.632,0.589,0.61,0.513,0.495,0.504,0.53
"X.TOK...WBSM_AncSPLCaiStrategy1_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.default_ner.none",0.455,0.535,0.492,0.628,0.603,0.615,0.494,0.459,0.476,0.527
"X.SW...WBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.none",0.415,0.432,0.423,0.638,0.592,0.614,0.543,0.503,0.522,0.52
"X.SW...WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.none",0.415,0.432,0.423,0.638,0.592,0.614,0.543,0.503,0.522,0.52
"X.SW...WBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.none.1",0.417,0.43,0.423,0.64,0.594,0.616,0.54,0.5,0.519,0.52
"X.SW...WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.none.1",0.417,0.43,0.423,0.64,0.594,0.616,0.54,0.5,0.519,0.52
"X.CF...WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.biosses_ner.none",0.434,0.513,0.47,0.614,0.576,0.594,0.498,0.461,0.478,0.514
"X.SW...WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.none.2",0.424,0.507,0.462,0.61,0.579,0.594,0.499,0.459,0.478,0.511
"X.CF...WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.none",0.424,0.507,0.462,0.61,0.579,0.594,0.499,0.459,0.478,0.511
"X.TOK...WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.none",0.424,0.507,0.462,0.61,0.579,0.594,0.499,0.459,0.478,0.511
"X.LC...WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.none",0.424,0.507,0.462,0.61,0.579,0.594,0.499,0.459,0.478,0.511
"X.CF...WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.none_ner.none",0.371,0.438,0.401,0.615,0.598,0.607,0.53,0.512,0.52,0.509
"X.CF...WBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.none_ner.none",0.371,0.438,0.401,0.615,0.598,0.607,0.53,0.512,0.52,0.509
"X.TOK...WBSM_AncSPLCaiStrategy1_tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none",0.429,0.509,0.466,0.598,0.565,0.581,0.499,0.459,0.478,0.508
"X.CF...WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.blagec2019_ner.none",0.426,0.506,0.463,0.612,0.575,0.593,0.473,0.439,0.455,0.504
"X.LC...WBSM_AncSPLWeightedJiangConrath_tok.whitespace_notlc_sw.user_cf.default_ner.none",0.4,0.455,0.426,0.582,0.561,0.572,0.526,0.5,0.512,0.503
"X.LC...WBSM_JiangConrath_tok.whitespace_notlc_sw.user_cf.default_ner.none",0.4,0.455,0.426,0.582,0.561,0.572,0.526,0.5,0.512,0.503
"WBSM_AncSPLCaiStrategy1_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.none",0.407,0.449,0.427,0.637,0.604,0.62,0.483,0.443,0.462,0.503
"X.CF...WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.none_ner.none",0.339,0.422,0.376,0.598,0.592,0.595,0.491,0.458,0.474,0.482
"X.SW...WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.none",0.373,0.393,0.383,0.613,0.574,0.593,0.488,0.445,0.465,0.48
"X.SW...WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.none.1",0.377,0.391,0.384,0.614,0.576,0.595,0.482,0.443,0.462,0.48
"X.LC...WBSM_AncSPLCaiStrategy1_tok.whitespace_notlc_sw.user_cf.default_ner.none",0.366,0.442,0.4,0.561,0.549,0.555,0.483,0.464,0.473,0.476
