"","r","$\rho$","r","$\rho$","r","$\rho$","Avg"
"[CF]  WBSM_Lin_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0.501363956970304,0.561030855757796,0.656596768921462,0.604786280387948,0.581815497873204,0.561130815794602,0.576811783014828
"[SW]  WBSM_Lin_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.495708910255845,0.556572922855469,0.655110564500787,0.60849441497854,0.58265931045748,0.560270894733267,0.575523058124805
"[CF]  WBSM_Lin_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.495708910255845,0.556572922855469,0.655110564500787,0.60849441497854,0.58265931045748,0.560270894733267,0.575523058124805
"[TOK]  WBSM_Lin_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.495708910255845,0.556572922855469,0.655110564500787,0.60849441497854,0.58265931045748,0.560270894733267,0.575523058124805
"[LC]  WBSM_Lin_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.495708910255845,0.556572922855469,0.655110564500787,0.60849441497854,0.58265931045748,0.560270894733267,0.575523058124805
"[LC]  WBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0.493747649382205,0.54730162726536,0.630357113288526,0.59358141173741,0.598317153626376,0.575874050290423,0.572481682524574
"[TOK]  WBSM_Lin_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.501175132924306,0.561133267729876,0.6347713392842,0.593314002179148,0.58265931045748,0.560270894733267,0.57135029434494
"[SW]  WBSM_Lin_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none",0.485679728840163,0.514288826853537,0.668187446374238,0.610116869325252,0.59836166481938,0.555768811559672,0.571229157480919
"[SW]  WBSM_Lin_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0.482241082020525,0.507620000201002,0.670194386541473,0.613481719425349,0.597312458331802,0.555168696436017,0.570220164999672
"[CF]  WBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0.461929371210874,0.508728459192932,0.650552035456636,0.617235450219871,0.597401573497432,0.584608490388309,0.569530836703795
"[CF]  WBSM_Lin_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.488480092817475,0.543223221083097,0.656533389528819,0.606409223928318,0.552394807078608,0.543221282541308,0.564215189853777
"[TOK]  WBSM_AncSPLWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0.480440625979881,0.547777541723852,0.646590798553234,0.615217735073721,0.536255084219343,0.514965862135903,0.555937771842622
"[CF]  WBSM_Lin_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0.422549711190573,0.478565121298406,0.635414093261657,0.604773355337289,0.569303517210243,0.557650879925117,0.54398285249286
"[CF]  WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0.457699373475713,0.513011689319356,0.633426384631073,0.58908916686661,0.537196661669172,0.513619262346239,0.539792295974544
"[LC]  WBSM_Lin_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0.438045252440356,0.49158349021993,0.608906110114063,0.575756585163216,0.570989349702473,0.548613877349061,0.53823942815199
"WBSM_AncSPLWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.451632621682592,0.454444089756629,0.65981757650545,0.619879766151484,0.540387159296048,0.503290451640736,0.53781299281023
"[SW]  WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.4503259444171,0.504348841328079,0.630279173947899,0.592481343331465,0.537249498182414,0.514582861833408,0.537425628056487
"[CF]  WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.4503259444171,0.504348841328079,0.630279173947899,0.592481343331465,0.537249498182414,0.514582861833408,0.537425628056487
"[TOK]  WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.4503259444171,0.504348841328079,0.630279173947899,0.592481343331465,0.537249498182414,0.514582861833408,0.537425628056487
"[LC]  WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.4503259444171,0.504348841328079,0.630279173947899,0.592481343331465,0.537249498182414,0.514582861833408,0.537425628056487
"[TOK]  WBSM_AncSPLWeightedJiangConrath_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.455763958330073,0.513608088450884,0.614837487860492,0.577569257863352,0.537249498182414,0.514582861833408,0.534751038115344
"[CF]  WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.446526617483295,0.508089890425842,0.631637088140709,0.589084025635873,0.512852396465707,0.494998617066338,0.529569797763454
"[TOK]  WBSM_AncSPLCaiStrategy1_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0.454814233158068,0.534735075867721,0.627771491132951,0.602509186482516,0.4940100242829,0.458916085383511,0.527415023949325
"[SW]  WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none",0.414506620681712,0.431606219982683,0.638301765303165,0.591587162692806,0.543425583358467,0.502679358801405,0.519733283632151
"[SW]  WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0.416695611869698,0.430196549308163,0.639530262347891,0.59426085644547,0.539706979610049,0.500236207190267,0.519542023642248
"[CF]  WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0.433590694854711,0.513132173992392,0.614214169246415,0.575619813126011,0.4976735654276,0.460672519891769,0.514256597513729
"[TOK]  WBSM_WuPalmerFast_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0.419520914653979,0.488553300693079,0.618172025735904,0.596365507022414,0.490891145741736,0.469425418524585,0.512801513445618
"[SW]  WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.424077517838502,0.506957334499305,0.610440754147611,0.578511668740638,0.499219867461033,0.458580655182282,0.511304692881905
