"","r","$\rho$","r","$\rho$","r","$\rho$","Avg"
"Qgram_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.default_ner.none",0.741,0.764,0.71,0.681,0.759,0.761,0.736
"Qgram_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0.741,0.765,0.709,0.68,0.759,0.761,0.736
"Qgram_tok.whitespace_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.743,0.768,0.701,0.674,0.762,0.764,0.735
"Qgram_tok.whitespace_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.746,0.772,0.701,0.674,0.753,0.764,0.735
"Qgram_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.743,0.767,0.702,0.676,0.76,0.762,0.735
"Qgram_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.742,0.766,0.702,0.676,0.759,0.762,0.734
"Qgram_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0.725,0.76,0.711,0.697,0.742,0.772,0.734
"Qgram_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.753,0.774,0.685,0.658,0.763,0.766,0.733
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.761,0.769,0.737,0.685,0.733,0.714,0.733
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.default_ner.none",0.782,0.795,0.696,0.564,0.781,0.793,0.733
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.781,0.795,0.695,0.564,0.78,0.792,0.732
"Qgram_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.741,0.762,0.701,0.675,0.752,0.761,0.732
"Qgram_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.default_ner.none",0.744,0.765,0.694,0.665,0.76,0.763,0.732
"Qgram_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.751,0.771,0.686,0.658,0.762,0.764,0.732
"Qgram_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.751,0.771,0.686,0.658,0.761,0.763,0.731
