"","r","$\rho$","r","$\rho$","r","$\rho$","Avg"
"BlockDistance_tok.whitespace_lc_sw.nltk2018stopwords_cf.none_ner.none",0.714,0.752,0.685,0.644,0.712,0.66,0.694
"OverlapCoefficient_tok.whitespace_lc_sw.biosses2017stopwords_cf.none_ner.none",0.68,0.721,0.655,0.553,0.777,0.784,0.693
"BlockDistance_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.686,0.736,0.669,0.664,0.701,0.704,0.693
"OverlapCoefficient_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.757,0.771,0.671,0.542,0.714,0.707,0.691
"BlockDistance_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0.694,0.741,0.648,0.647,0.7,0.701,0.688
"Jaccard_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.693,0.738,0.683,0.673,0.657,0.687,0.688
"BlockDistance_tok.whitespace_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.697,0.73,0.695,0.648,0.686,0.668,0.687
"BlockDistance_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.687,0.734,0.648,0.648,0.701,0.704,0.687
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.689,0.726,0.677,0.67,0.677,0.681,0.687
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.71,0.726,0.657,0.532,0.753,0.745,0.685
"Jaccard_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.none_ner.none",0.709,0.741,0.673,0.659,0.646,0.682,0.684
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.71,0.725,0.656,0.532,0.752,0.744,0.684
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0.727,0.774,0.66,0.556,0.698,0.702,0.684
"Jaccard_tok.whitespace_lc_sw.nltk2018stopwords_cf.none_ner.none",0.693,0.734,0.66,0.642,0.705,0.672,0.684
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.biosses_ner.none",0.726,0.774,0.66,0.556,0.697,0.701,0.684
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.708,0.725,0.657,0.529,0.752,0.745,0.684
"Jaccard_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.704,0.742,0.663,0.649,0.657,0.687,0.683
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.705,0.721,0.658,0.534,0.751,0.743,0.683
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.705,0.72,0.658,0.533,0.751,0.743,0.683
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.705,0.72,0.658,0.534,0.751,0.742,0.683
"OverlapCoefficient_tok.whitespace_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.708,0.737,0.65,0.525,0.748,0.739,0.683
"BlockDistance_tok.whitespace_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.639,0.685,0.657,0.617,0.753,0.745,0.682
"OverlapCoefficient_tok.whitespace_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.705,0.734,0.65,0.525,0.747,0.739,0.681
"OverlapCoefficient_tok.whitespace_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.703,0.729,0.651,0.527,0.747,0.738,0.68
"BlockDistance_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.68,0.688,0.7,0.649,0.692,0.67,0.679
"OverlapCoefficient_tok.whitespace_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.699,0.726,0.651,0.527,0.746,0.737,0.679
"OverlapCoefficient_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.709,0.735,0.637,0.515,0.748,0.739,0.678
"OverlapCoefficient_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.704,0.731,0.636,0.515,0.747,0.739,0.676
"BlockDistance_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.672,0.72,0.669,0.665,0.665,0.668,0.676
"Jaccard_tok.whitespace_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.68,0.723,0.668,0.641,0.675,0.671,0.676
"OverlapCoefficient_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.703,0.727,0.638,0.517,0.747,0.738,0.676
"OverlapCoefficient_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.702,0.726,0.637,0.515,0.748,0.739,0.676
"OverlapCoefficient_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.699,0.723,0.638,0.517,0.746,0.738,0.675
"OverlapCoefficient_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.699,0.723,0.638,0.517,0.746,0.737,0.674
"Jaccard_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.none_ner.none",0.696,0.711,0.652,0.638,0.662,0.684,0.674
"OverlapCoefficient_tok.whitespace_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.677,0.708,0.653,0.531,0.746,0.738,0.673
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.none_ner.none",0.744,0.747,0.673,0.547,0.698,0.642,0.673
"BlockDistance_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.default_ner.none",0.649,0.691,0.656,0.649,0.699,0.692,0.673
"Jaccard_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.default_ner.none",0.662,0.705,0.659,0.65,0.667,0.693,0.672
"BlockDistance_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.biosses_ner.none",0.649,0.691,0.656,0.648,0.698,0.691,0.672
"BlockDistance_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.682,0.696,0.676,0.626,0.686,0.668,0.672
"Jaccard_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.biosses_ner.none",0.662,0.704,0.659,0.65,0.666,0.691,0.672
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.none_ner.none",0.687,0.707,0.656,0.65,0.663,0.661,0.671
"OverlapCoefficient_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0.698,0.754,0.651,0.549,0.685,0.689,0.669
"BlockDistance_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.678,0.716,0.646,0.643,0.665,0.668,0.669
"OverlapCoefficient_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.695,0.754,0.651,0.549,0.687,0.69,0.669
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.715,0.759,0.658,0.552,0.662,0.676,0.669
"Jaccard_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.666,0.693,0.673,0.642,0.664,0.674,0.668
"Jaccard_tok.whitespace_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.621,0.668,0.629,0.611,0.727,0.745,0.666
"Jaccard_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0.651,0.693,0.652,0.642,0.674,0.687,0.666
"Jaccard_tok.whitespace_notlc_sw.nonestopwords_cf.biosses_ner.none",0.652,0.693,0.652,0.642,0.673,0.685,0.666
"Jaccard_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.678,0.701,0.651,0.619,0.675,0.671,0.666
"OverlapCoefficient_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.none_ner.none",0.737,0.746,0.656,0.533,0.697,0.639,0.665
"OverlapCoefficient_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0.699,0.753,0.636,0.537,0.685,0.689,0.665
"OverlapCoefficient_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.696,0.752,0.637,0.538,0.687,0.69,0.665
"BlockDistance_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0.637,0.686,0.649,0.641,0.688,0.687,0.664
"BlockDistance_tok.whitespace_notlc_sw.nonestopwords_cf.biosses_ner.none",0.638,0.688,0.648,0.64,0.688,0.684,0.664
"BlockDistance_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.none_ner.none",0.681,0.703,0.631,0.631,0.661,0.659,0.661
"Jaccard_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.default_ner.none",0.652,0.692,0.636,0.626,0.674,0.687,0.661
"Jaccard_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.biosses_ner.none",0.653,0.693,0.636,0.625,0.673,0.685,0.661
"BlockDistance_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.default_ner.none",0.637,0.685,0.629,0.624,0.688,0.687,0.658
"BlockDistance_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.biosses_ner.none",0.638,0.687,0.629,0.623,0.688,0.684,0.658
"BlockDistance_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.676,0.698,0.656,0.613,0.674,0.631,0.658
"OverlapCoefficient_tok.whitespace_lc_sw.nltk2018stopwords_cf.none_ner.none",0.688,0.726,0.651,0.551,0.697,0.639,0.657
"Jaccard_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.673,0.696,0.641,0.611,0.675,0.644,0.656
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.691,0.705,0.655,0.528,0.694,0.677,0.656
"Jaccard_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.647,0.687,0.656,0.645,0.631,0.661,0.654
"OverlapCoefficient_tok.whitespace_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.683,0.716,0.651,0.528,0.687,0.674,0.654
"BlockDistance_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.658,0.674,0.675,0.627,0.67,0.623,0.654
"OverlapCoefficient_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.677,0.733,0.652,0.55,0.651,0.666,0.653
"OverlapCoefficient_tok.whitespace_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.623,0.672,0.619,0.523,0.748,0.739,0.653
"BlockDistance_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.63,0.664,0.655,0.645,0.661,0.659,0.652
"Jaccard_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.649,0.682,0.66,0.628,0.657,0.637,0.652
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.none_ner.none",0.701,0.729,0.639,0.538,0.65,0.661,0.652
"Jaccard_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0.62,0.646,0.649,0.647,0.662,0.684,0.651
"BlockDistance_tok.whitespace_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.649,0.693,0.651,0.612,0.674,0.631,0.651
"OverlapCoefficient_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.687,0.74,0.635,0.533,0.651,0.666,0.65
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.default_ner.none",0.665,0.711,0.626,0.53,0.684,0.683,0.648
"Jaccard_tok.whitespace_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.629,0.674,0.652,0.643,0.636,0.656,0.648
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.biosses_ner.none",0.664,0.711,0.626,0.53,0.683,0.682,0.648
"Jaccard_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.none_ner.none",0.642,0.67,0.645,0.632,0.631,0.657,0.646
"OverlapCoefficient_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.681,0.7,0.635,0.51,0.687,0.674,0.645
"BlockDistance_tok.whitespace_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.617,0.666,0.649,0.641,0.648,0.648,0.644
"Jaccard_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.638,0.673,0.634,0.621,0.636,0.656,0.643
"Jaccard_tok.whitespace_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.629,0.677,0.625,0.608,0.675,0.644,0.643
"Jaccard_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.none_ner.none",0.64,0.663,0.625,0.612,0.643,0.662,0.641
"BlockDistance_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.none_ner.none",0.631,0.649,0.64,0.628,0.648,0.646,0.64
"BlockDistance_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.619,0.658,0.628,0.62,0.648,0.648,0.637
"BlockDistance_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0.593,0.631,0.635,0.64,0.661,0.659,0.636
"OverlapCoefficient_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0.641,0.695,0.62,0.524,0.673,0.675,0.636
"OverlapCoefficient_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.none_ner.none",0.677,0.706,0.623,0.524,0.644,0.65,0.636
"OverlapCoefficient_tok.whitespace_notlc_sw.nonestopwords_cf.biosses_ner.none",0.638,0.695,0.62,0.523,0.672,0.674,0.635
"BlockDistance_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.none_ner.none",0.633,0.656,0.617,0.611,0.646,0.643,0.634
"OverlapCoefficient_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.default_ner.none",0.642,0.696,0.605,0.512,0.673,0.675,0.632
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.674,0.681,0.639,0.518,0.676,0.617,0.631
"OverlapCoefficient_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.biosses_ner.none",0.639,0.696,0.605,0.512,0.672,0.674,0.631
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.651,0.69,0.626,0.527,0.646,0.654,0.631
"OverlapCoefficient_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.68,0.697,0.623,0.504,0.673,0.62,0.63
"OverlapCoefficient_tok.whitespace_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.633,0.68,0.616,0.521,0.673,0.62,0.622
"OverlapCoefficient_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0.605,0.647,0.627,0.55,0.644,0.65,0.619
"OverlapCoefficient_tok.whitespace_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.616,0.672,0.621,0.526,0.635,0.646,0.618
"Jaccard_tok.whitespace_notlc_sw.nonestopwords_cf.none_ner.none",0.565,0.597,0.62,0.619,0.643,0.662,0.618
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.none_ner.none",0.642,0.663,0.611,0.516,0.637,0.641,0.617
"OverlapCoefficient_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.624,0.677,0.605,0.508,0.635,0.646,0.614
"BlockDistance_tok.whitespace_notlc_sw.nonestopwords_cf.none_ner.none",0.548,0.592,0.618,0.617,0.646,0.643,0.61
"OverlapCoefficient_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.none_ner.none",0.627,0.655,0.596,0.502,0.632,0.64,0.607
"OverlapCoefficient_tok.whitespace_notlc_sw.nonestopwords_cf.none_ner.none",0.557,0.607,0.597,0.525,0.632,0.64,0.592
"Levenshtein_tok.whitespace_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.529,0.536,0.61,0.634,0.498,0.536,0.557
"Levenshtein_tok.whitespace_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.547,0.529,0.623,0.644,0.48,0.52,0.557
"Levenshtein_tok.whitespace_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.523,0.518,0.613,0.636,0.5,0.543,0.555
"Levenshtein_tok.whitespace_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.543,0.527,0.622,0.642,0.481,0.518,0.555
"Levenshtein_tok.whitespace_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.525,0.515,0.614,0.638,0.499,0.542,0.555
"Levenshtein_tok.whitespace_lc_sw.biosses2017stopwords_cf.none_ner.none",0.544,0.536,0.618,0.64,0.48,0.513,0.555
"Levenshtein_tok.whitespace_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.547,0.524,0.621,0.643,0.477,0.516,0.554
"Levenshtein_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.534,0.529,0.602,0.624,0.498,0.536,0.554
"Levenshtein_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.none_ner.none",0.551,0.537,0.61,0.63,0.48,0.513,0.553
"Levenshtein_tok.whitespace_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.527,0.512,0.613,0.636,0.495,0.535,0.553
"Levenshtein_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.549,0.529,0.61,0.63,0.48,0.52,0.553
"Levenshtein_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.548,0.529,0.61,0.63,0.481,0.518,0.552
"Levenshtein_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0.549,0.534,0.622,0.643,0.472,0.493,0.552
"Levenshtein_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.525,0.521,0.614,0.638,0.492,0.524,0.552
"Levenshtein_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.525,0.522,0.614,0.638,0.491,0.523,0.552
"Levenshtein_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.527,0.515,0.602,0.625,0.5,0.543,0.551
"Levenshtein_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none",0.551,0.533,0.62,0.643,0.471,0.492,0.551
"Levenshtein_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.527,0.516,0.602,0.625,0.499,0.542,0.551
"Levenshtein_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.546,0.522,0.622,0.643,0.473,0.503,0.551
"Levenshtein_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.522,0.522,0.613,0.636,0.492,0.521,0.551
"Levenshtein_tok.whitespace_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.525,0.528,0.614,0.637,0.487,0.514,0.551
"Levenshtein_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.544,0.519,0.622,0.644,0.473,0.503,0.551
"Levenshtein_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.none_ner.none",0.545,0.53,0.622,0.642,0.47,0.494,0.55
"Levenshtein_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.549,0.523,0.609,0.629,0.477,0.516,0.55
"Levenshtein_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.543,0.519,0.622,0.644,0.473,0.5,0.55
"Levenshtein_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.default_ner.none",0.544,0.521,0.623,0.645,0.472,0.496,0.55
"Levenshtein_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.523,0.521,0.615,0.638,0.487,0.515,0.55
"Levenshtein_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.default_ner.none",0.545,0.522,0.622,0.644,0.471,0.494,0.55
"Levenshtein_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.529,0.514,0.601,0.623,0.495,0.535,0.549
"Levenshtein_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.527,0.515,0.613,0.637,0.487,0.518,0.549
"Levenshtein_tok.whitespace_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.53,0.533,0.607,0.632,0.485,0.508,0.549
"Levenshtein_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.default_ner.none",0.553,0.535,0.609,0.63,0.472,0.493,0.548
"Levenshtein_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.default_ner.none",0.555,0.536,0.608,0.629,0.471,0.492,0.548
"Levenshtein_tok.whitespace_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.527,0.522,0.612,0.636,0.483,0.507,0.548
"Levenshtein_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.528,0.53,0.602,0.624,0.487,0.514,0.548
"Levenshtein_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.525,0.513,0.614,0.638,0.483,0.506,0.546
"Levenshtein_tok.whitespace_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.543,0.524,0.62,0.642,0.457,0.493,0.546
"Levenshtein_tok.whitespace_lc_sw.nltk2018stopwords_cf.none_ner.none",0.541,0.525,0.616,0.638,0.466,0.484,0.545
"Levenshtein_tok.whitespace_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.526,0.517,0.612,0.635,0.475,0.506,0.545
"Levenshtein_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.521,0.532,0.602,0.628,0.482,0.505,0.545
"Levenshtein_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.53,0.523,0.601,0.623,0.483,0.507,0.544
"Levenshtein_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.none_ner.none",0.541,0.516,0.611,0.635,0.466,0.497,0.544
"Levenshtein_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.525,0.517,0.611,0.635,0.471,0.5,0.543
"Levenshtein_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.535,0.511,0.62,0.642,0.457,0.495,0.543
"Levenshtein_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.518,0.507,0.599,0.622,0.475,0.506,0.538
"Levenshtein_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.531,0.511,0.608,0.628,0.457,0.493,0.538
"Levenshtein_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0.521,0.533,0.589,0.627,0.463,0.487,0.536
"Levenshtein_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.51,0.499,0.592,0.617,0.485,0.508,0.535
"Levenshtein_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.none_ner.none",0.523,0.504,0.6,0.623,0.466,0.484,0.533
"Levenshtein_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0.525,0.537,0.575,0.612,0.463,0.487,0.533
"Levenshtein_tok.whitespace_notlc_sw.nonestopwords_cf.biosses_ner.none",0.501,0.517,0.586,0.623,0.468,0.495,0.531
"Levenshtein_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.521,0.534,0.589,0.627,0.449,0.461,0.53
"Levenshtein_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.biosses_ner.none",0.51,0.519,0.589,0.628,0.457,0.471,0.529
"Levenshtein_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.51,0.52,0.589,0.628,0.455,0.47,0.528
"Levenshtein_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0.509,0.518,0.589,0.628,0.455,0.47,0.528
"Levenshtein_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.biosses_ner.none",0.504,0.52,0.571,0.608,0.468,0.495,0.527
"Levenshtein_tok.whitespace_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.501,0.518,0.585,0.623,0.456,0.475,0.526
"Levenshtein_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.516,0.524,0.575,0.613,0.455,0.47,0.525
"Levenshtein_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.biosses_ner.none",0.488,0.499,0.586,0.624,0.464,0.485,0.524
"Levenshtein_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.507,0.516,0.588,0.626,0.446,0.456,0.523
"Levenshtein_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.516,0.522,0.574,0.612,0.449,0.461,0.522
"Levenshtein_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.default_ner.none",0.486,0.497,0.586,0.624,0.462,0.479,0.522
"Levenshtein_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0.487,0.494,0.586,0.624,0.462,0.479,0.522
"Levenshtein_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0.51,0.527,0.585,0.624,0.439,0.434,0.52
"Levenshtein_tok.whitespace_notlc_sw.nonestopwords_cf.none_ner.none",0.492,0.514,0.582,0.62,0.449,0.46,0.519
"Levenshtein_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.486,0.49,0.585,0.622,0.455,0.479,0.519
"Levenshtein_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.default_ner.none",0.493,0.501,0.571,0.609,0.462,0.479,0.519
"Levenshtein_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.496,0.511,0.57,0.607,0.456,0.475,0.519
"Levenshtein_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.none_ner.none",0.505,0.523,0.582,0.621,0.441,0.442,0.519
"Levenshtein_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.none_ner.none",0.484,0.509,0.579,0.617,0.452,0.461,0.517
"Levenshtein_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.none_ner.none",0.511,0.526,0.568,0.607,0.439,0.434,0.514
"Levenshtein_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.none_ner.none",0.493,0.502,0.565,0.603,0.449,0.46,0.512
