"","Human","Human","Human","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min.2","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min","[TOK]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min","[LC]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min","[TOK]  bioc_skipgram_defaultchar__tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.default_ner.none_Min","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min.1","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average.1","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum.1","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum","[TOK]  bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none_Min","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Max.2","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Max","[TOK]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Max","[LC]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Max","[TOK]  bioc_skipgram_defaultchar__tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.default_ner.none_Max","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Max.1","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Max","[TOK]  bioc_skipgram_defaultchar__tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.default_ner.none_Average","[TOK]  bioc_skipgram_defaultchar__tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.default_ner.none_Sum","[TOK]  bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none_Max","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average.2","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum.2","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum","[TOK]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average","[TOK]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum","[LC]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average","[LC]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.biosses_ner.none_Average","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.biosses_ner.none_Sum","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.biosses_ner.none_Max","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.biosses_ner.none_Min","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.blagec2019_ner.none_Average","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.blagec2019_ner.none_Sum","[TOK]  bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none_Average","[TOK]  bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none_Sum","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.blagec2019_ner.none_Max","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.blagec2019_ner.none_Min","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.none_ner.none_Average","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.none_ner.none_Sum","[LC]  bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.user_cf.default_ner.none_Average","[LC]  bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.user_cf.default_ner.none_Sum","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.none_ner.none_Max","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.none_ner.none_Min","[LC]  bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.user_cf.default_ner.none_Max","[LC]  bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.user_cf.default_ner.none_Min"
"[TOK]  bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none_Max",0,0,0,0.004,0.004,0.004,0.004,0.006,0.009,0.01,0.023,0.023,0.026,0.026,0,0.044,0.044,0.044,0.044,0.053,0.073,0.074,0.198,0.198,NA,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.153,0.153,0.087,0.087,0.098,0.098,0.008,0.008,0.031,0.021,0,0,0,0,0,0,0,0
"[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average.2",0,0,0,0,0,0,0,0.002,0.001,0.002,0,0,0,0,0.063,0.015,0.015,0.015,0.015,0.038,0.033,0.034,0.018,0.018,0.223,NA,NA,NA,NA,NA,NA,NA,NA,0.048,0.048,0.077,0.046,0.053,0.053,0.057,0.057,0.017,0.009,0,0,0,0,0,0,0,0
"[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum.2",0,0,0,0,0,0,0,0.002,0.001,0.002,0,0,0,0,0.063,0.015,0.015,0.015,0.015,0.038,0.033,0.034,0.018,0.018,0.223,NA,NA,NA,NA,NA,NA,NA,NA,0.048,0.048,0.077,0.046,0.053,0.053,0.057,0.057,0.017,0.009,0,0,0,0,0,0,0,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average",0,0,0,0,0,0,0,0.002,0.001,0.002,0,0,0,0,0.063,0.015,0.015,0.015,0.015,0.038,0.033,0.034,0.018,0.018,0.223,NA,NA,NA,NA,NA,NA,NA,NA,0.048,0.048,0.077,0.046,0.053,0.053,0.057,0.057,0.017,0.009,0,0,0,0,0,0,0,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum",0,0,0,0,0,0,0,0.002,0.001,0.002,0,0,0,0,0.063,0.015,0.015,0.015,0.015,0.038,0.033,0.034,0.018,0.018,0.223,NA,NA,NA,NA,NA,NA,NA,NA,0.048,0.048,0.077,0.046,0.053,0.053,0.057,0.057,0.017,0.009,0,0,0,0,0,0,0,0
"[TOK]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average",0,0,0,0,0,0,0,0.002,0.001,0.002,0,0,0,0,0.063,0.015,0.015,0.015,0.015,0.038,0.033,0.034,0.018,0.018,0.223,NA,NA,NA,NA,NA,NA,NA,NA,0.048,0.048,0.077,0.046,0.053,0.053,0.057,0.057,0.017,0.009,0,0,0,0,0,0,0,0
"[TOK]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum",0,0,0,0,0,0,0,0.002,0.001,0.002,0,0,0,0,0.063,0.015,0.015,0.015,0.015,0.038,0.033,0.034,0.018,0.018,0.223,NA,NA,NA,NA,NA,NA,NA,NA,0.048,0.048,0.077,0.046,0.053,0.053,0.057,0.057,0.017,0.009,0,0,0,0,0,0,0,0
"[LC]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average",0,0,0,0,0,0,0,0.002,0.001,0.002,0,0,0,0,0.063,0.015,0.015,0.015,0.015,0.038,0.033,0.034,0.018,0.018,0.223,NA,NA,NA,NA,NA,NA,NA,NA,0.048,0.048,0.077,0.046,0.053,0.053,0.057,0.057,0.017,0.009,0,0,0,0,0,0,0,0
"[LC]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum",0,0,0,0,0,0,0,0.002,0.001,0.002,0,0,0,0,0.063,0.015,0.015,0.015,0.015,0.038,0.033,0.034,0.018,0.018,0.223,NA,NA,NA,NA,NA,NA,NA,NA,0.048,0.048,0.077,0.046,0.053,0.053,0.057,0.057,0.017,0.009,0,0,0,0,0,0,0,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.biosses_ner.none_Average",0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0.001,0.032,0.006,0.006,0.006,0.006,0.012,0.016,0.016,0.001,0.001,0.153,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,NA,NA,0.131,0.094,0.094,0.094,0.082,0.082,0.025,0.014,0,0,0,0,0,0,0,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.biosses_ner.none_Sum",0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0.001,0.032,0.006,0.006,0.006,0.006,0.012,0.016,0.016,0.001,0.001,0.153,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,NA,NA,0.131,0.094,0.094,0.094,0.082,0.082,0.025,0.014,0,0,0,0,0,0,0,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.biosses_ner.none_Max",0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.01,0.001,0.001,0.001,0.001,0,0.003,0.003,0.017,0.017,0.087,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.131,0.131,NA,0.168,0.175,0.175,0.132,0.132,0.024,0.014,0,0,0,0,0,0,0,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.biosses_ner.none_Min",0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.012,0.004,0.004,0.004,0.004,0.005,0.007,0.007,0.01,0.01,0.087,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.094,0.094,0.168,NA,0.211,0.211,0.16,0.16,0.022,0.009,0,0,0,0,0,0,0,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.blagec2019_ner.none_Average",0,0,0,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.024,0.015,0.015,0.015,0.015,0.015,0.023,0.023,0.02,0.02,0.098,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.094,0.094,0.175,0.211,NA,NA,0.178,0.178,0.009,0.003,0,0,0,0,0,0,0,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.blagec2019_ner.none_Sum",0,0,0,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.024,0.015,0.015,0.015,0.015,0.015,0.023,0.023,0.02,0.02,0.098,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.094,0.094,0.175,0.211,NA,NA,0.178,0.178,0.009,0.003,0,0,0,0,0,0,0,0
"[TOK]  bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none_Average",0,0,0,0.002,0.002,0.002,0.002,0.003,0.004,0.004,0.005,0.005,0.006,0.006,0,0.012,0.012,0.012,0.012,0.015,0.017,0.018,0.036,0.036,0.008,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.082,0.082,0.132,0.16,0.178,0.178,NA,NA,0.138,0.087,0,0,0,0,0,0,0,0
"[TOK]  bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none_Sum",0,0,0,0.002,0.002,0.002,0.002,0.003,0.004,0.004,0.005,0.005,0.006,0.006,0,0.012,0.012,0.012,0.012,0.015,0.017,0.018,0.036,0.036,0.008,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.082,0.082,0.132,0.16,0.178,0.178,NA,NA,0.138,0.087,0,0,0,0,0,0,0,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.blagec2019_ner.none_Max",0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.009,0.005,0.005,0.005,0.005,0.004,0.007,0.007,0.008,0.008,0.031,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.025,0.025,0.024,0.022,0.009,0.009,0.138,0.138,NA,0.008,0,0,0.002,0.002,0,0,0,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.blagec2019_ner.none_Min",0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.006,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.021,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.014,0.014,0.014,0.009,0.003,0.003,0.087,0.087,0.008,NA,0.001,0.001,0.008,0.008,0,0,0,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.none_ner.none_Average",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,NA,NA,0.115,0.115,0.013,0.002,0.001,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.none_ner.none_Sum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,NA,NA,0.115,0.115,0.013,0.002,0.001,0
"[LC]  bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.user_cf.default_ner.none_Average",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.008,0.115,0.115,NA,NA,0.186,0.105,0,0
"[LC]  bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.user_cf.default_ner.none_Sum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.008,0.115,0.115,NA,NA,0.186,0.105,0,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.none_ner.none_Max",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.013,0.186,0.186,NA,0.001,0.005,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.none_ner.none_Min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.105,0.105,0.001,NA,0.017,0.001
"[LC]  bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.user_cf.default_ner.none_Max",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.005,0.017,NA,0
"[LC]  bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.user_cf.default_ner.none_Min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,NA
