"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"X.CF...UBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.CF...UBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.CF...UBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.CF...UBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.CF...UBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.TOK...UBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.TOK...UBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.TOK...UBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.TOK...UBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.TOK...UBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.LC...UBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.LC...UBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.LC...UBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.LC...UBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.LC...UBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.NER...UBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.NER...UBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.NER...UBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.NER...UBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.NER...UBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.702,0.767,0.733,0.733,0.689,0.71,0.709,0.707,0.708,0.717
"X.TOK...UBSM_AncSPLWeightedJiangConrath_tok.biocnlptokenizer_lc_sw.user_cf.default_ner.ctakes",0.703,0.766,0.733,0.713,0.673,0.693,0.707,0.708,0.708,0.711
"X.TOK...UBSM_AncSPLRada_tok.biocnlptokenizer_lc_sw.user_cf.default_ner.ctakes",0.703,0.766,0.733,0.713,0.673,0.693,0.707,0.708,0.708,0.711
"X.TOK...UBSM_AncSPLCosineNormWeightedJiangConrath_tok.biocnlptokenizer_lc_sw.user_cf.default_ner.ctakes",0.703,0.766,0.733,0.713,0.673,0.693,0.707,0.708,0.708,0.711
"X.TOK...UBSM_AncSPLCaiStrategy1_tok.biocnlptokenizer_lc_sw.user_cf.default_ner.ctakes",0.703,0.766,0.733,0.713,0.673,0.693,0.707,0.708,0.708,0.711
"X.TOK...UBSM_JiangConrath_tok.biocnlptokenizer_lc_sw.user_cf.default_ner.ctakes",0.703,0.766,0.733,0.713,0.673,0.693,0.707,0.708,0.708,0.711
"X.CF...UBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.blagec2019_ner.ctakes",0.693,0.759,0.724,0.732,0.686,0.709,0.67,0.672,0.671,0.701
