"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"X.LC...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.568,0.616,0.591,0.679,0.645,0.662,0.613,0.719,0.662,0.638
"X.LC...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.568,0.616,0.591,0.679,0.645,0.662,0.613,0.719,0.662,0.638
"X.TOK...bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Average",0.579,0.63,0.603,0.556,0.632,0.592,0.613,0.719,0.662,0.619
"X.TOK...bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.579,0.63,0.603,0.556,0.632,0.592,0.613,0.719,0.662,0.619
"X.CF...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Min",0.623,0.746,0.679,0.634,0.637,0.635,0.488,0.592,0.535,0.616
"X.CF...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Average",0.652,0.672,0.662,0.658,0.633,0.645,0.398,0.463,0.428,0.578
"X.CF...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Sum",0.652,0.672,0.662,0.658,0.633,0.645,0.398,0.463,0.428,0.578
"X.CF...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Max",0.669,0.749,0.707,0.615,0.597,0.606,0.244,0.269,0.256,0.523
"X.LC...bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none_Average",0.396,0.484,0.435,0.33,0.504,0.399,0.532,0.643,0.582,0.472
"X.LC...bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none_Sum",0.396,0.484,0.435,0.33,0.504,0.399,0.532,0.643,0.582,0.472
"X.CF...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Min",0.586,0.726,0.648,0.581,0.607,0.594,0.16,0.191,0.174,0.472
"X.CF...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none_Average",0.432,0.542,0.481,0.416,0.521,0.463,0.266,0.338,0.298,0.414
"X.CF...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none_Sum",0.432,0.542,0.481,0.416,0.521,0.463,0.266,0.338,0.298,0.414
"X.LC...bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none_Max",0.361,0.335,0.348,0.28,0.333,0.305,0.462,0.476,0.469,0.374
"X.CF...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none_Max",0.347,0.501,0.41,0.411,0.448,0.429,0.236,0.297,0.263,0.367
"X.CF...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none_Min",0.333,0.496,0.398,0.369,0.45,0.406,0.189,0.272,0.223,0.342
"X.LC...bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none_Min",0.251,0.244,0.247,0.238,0.312,0.27,0.364,0.362,0.363,0.293
