
WordNet Id1;WordNet Id1;CosineNormWeightedJiangConrath;AncSPLCosineNormWeightedJiangConrath
12483427;5354744;0.015477793923694971;0.015477793923694971
478647;12303462;0.02879182732193375;0.02879182732193375
14901565;15038680;0.11404016167452502;0.11404016167452502
10000459;1409477;0.0;0.0
336430;11967744;0.004625399407177433;0.004625399407177433
208943;4255163;0.0;0.0
11650307;10290919;0.03060766750714672;0.03060766750714672
13653154;1793249;0.0;0.0
13765086;10756061;0.0;0.0
10158010;8272961;0.0;0.0
4327324;4901754;0.0;0.0
1029114;1678657;0.0;0.0
3915320;13701615;0.0;0.0
11174563;7200421;0.0;0.0
4450994;10143299;0.00880661729196175;0.00880661729196175
811355;6721081;0.016802029085095316;0.010968661971441085
5831784;10230801;0.002905707401936408;0.002905707401936408
14766890;10101634;0.048790739995971166;0.048790739995971166
842597;4925218;0.0;0.0
3593222;2301072;4.1951098437409406E-5;0.0
14358709;2634717;0.005009737574855233;0.005009737574855233
809074;14284876;0.005009737574855344;0.005009737574855344
9297920;724433;0.0;0.0
6552320;6316376;0.07847538216844352;0.07847538216844352
2047614;2396667;0.004625399407177544;0.004625399407177544
1622596;7463323;0.005009737574855233;0.005009737574855233
4138869;9466280;0.026113069638703523;0.026113069638703523
716777;5169601;0.005009737574855233;0.005009737574855233
5214599;7220045;0.013130646847516414;0.005009737574855233
11895472;5566366;0.012174849043367075;0.012174849043367075
3914919;3243218;0.2062800894327087;0.2062800894327087
4427559;2374149;0.10569920664059407;0.10569920664059407
4556408;1419740;0.0;0.0
3651605;3824284;0.039749419974092315;0.039749419974092315
13488844;11236043;0.001157019198507192;0.001157019198507192
8099647;10347446;0.001157019198507192;0.001157019198507192
5910940;10722965;0.012743250972188647;0.012743250972188647
10346015;1611800;0.09451942908026556;0.09451942908026556
13380996;14136544;0.005009737574855344;0.005009737574855344
4082344;5362912;0.0031944224798620136;0.0031944224798620136
11461684;12808933;0.0;0.0
6802785;5219097;0.0;0.0
7322138;12698774;0.0;0.0
3056288;7698672;0.0031944224798620136;0.0031944224798620136
9980658;9703932;0.05602552181949716;0.05602552181949716
5796222;1931277;0.005009737574855233;0.005009737574855233
14357693;13505467;0.0;0.0
10042074;13801424;0.011301889573611557;0.00772276891282031
11830045;6763273;0.010397114661032547;0.010397114661032547
14164341;11522815;0.0;0.0
8300190;7795751;0.014771289131239262;0.012743250972188647
4886646;12127460;0.0;0.0
7874995;3868044;0.0031944224798620136;0.0031944224798620136
10481929;7702193;0.015477793923694971;0.015477793923694971
9567767;1411450;0.0;0.0
1798484;13438521;0.015477793923694971;0.015477793923694971
13722060;4130907;0.0;0.0
10760199;14749272;0.0031944224798620136;0.0031944224798620136
5890809;15000689;0.010968661971441085;0.010968661971441085
3901229;10792856;0.021774303979619103;0.021774303979619103
684988;629318;0.14424470785345556;0.14424470785345556
13238828;1316288;0.0;0.0
14326969;1837746;0.005009737574855233;0.005009737574855233
5291230;9516146;0.0;0.0
9594298;5751533;0.08053549036129515;0.08053549036129515
10966842;4121342;0.00880661729196175;0.00880661729196175
4399700;2168699;0.021774303979619103;0.021774303979619103
5055689;3299006;7.535994651786115E-5;0.0
12624249;4742535;0.05888815733941832;0.05888815733941832
15192649;8846739;0.0;0.0
14111133;15035505;7.535994651786115E-5;0.0
3814528;2470238;0.008806617291961638;0.008806617291961638
10338231;7134850;0.001157019198507192;0.001157019198507192
11301809;3410022;0.00880661729196175;0.00880661729196175
7725255;1751036;0.008188563328250242;0.008188563328250242
11621950;6254915;0.0;0.0
5596442;6552116;0.0;0.0
1260867;12442220;0.015516470231659918;0.015516470231659918
13477462;3214051;0.012174849043367075;0.012174849043367075
2879517;636461;0.004625399407177433;0.004625399407177433
12122442;8849372;0.0066451850520728994;0.0066451850520728994
2274822;721660;0.019272233112568093;0.019272233112568093
4699936;2264734;0.005009737574855233;0.005009737574855233
12183026;12482437;0.2014197081321769;0.2014197081321769
8771116;949134;0.016728479935017915;0.016728479935017915
2830157;1116206;0.0;0.0
7649096;11184273;0.0031944224798621246;0.0031944224798621246
14872226;2442336;0.0031944224798621246;0.0031944224798621246
2058074;1741562;0.014835998036923037;0.014835998036923037
5470013;10016103;0.10735056895890305;0.10735056895890305
11716041;7264484;0.0;0.0
3905730;12623524;0.021774303979619103;0.021774303979619103
9292751;5476754;0.0;0.0
5579944;7924033;0.05047185279309885;0.028606545440820974
9118505;151087;0.0;0.0
14867545;4115144;0.0031944224798621246;0.0031944224798621246
13092722;12600888;0.0;0.0
6708167;10658501;0.004625399407177544;0.004625399407177544
784271;8878202;0.0;0.0
11521665;1565930;0.008188563328250242;0.008188563328250242
4731925;10830456;0.0;0.0
14046751;11215205;0.0;0.0
14456054;14009763;0.091312955538982;0.091312955538982
11328289;14102454;0.0;0.0
2905036;13338066;0.0;0.0
11200812;7640014;0.0031944224798620136;0.0031944224798620136
5593318;1964957;0.0031944224798621246;0.0031944224798621246
14831812;3854421;0.0031944224798620136;0.0031944224798620136
2616128;13903738;0.0;0.0
1568892;3214450;0.008806617291961638;0.008806617291961638
2610541;3434188;0.0;0.0
786102;6529996;0.005009737574855233;0.005009737574855233
4519153;11635152;0.046237691347471355;0.046237691347471355
7122639;12188635;0.0;0.0
1842111;2848921;0.0;0.0
3105467;1481331;0.01632170879725625;0.01632170879725625
14704328;7663492;0.060785672842023186;0.060785672842023186
11800236;3376771;0.008806617291961638;0.008806617291961638
13371030;10494195;0.011301889573611557;0.00772276891282031
11594676;6493926;0.05673987260357749;0.05673987260357749
12949160;11140100;0.01992223775946833;0.01992223775946833
477827;3287733;0.03429423634440387;0.03429423634440387
12016777;14730802;0.0031944224798621246;0.0031944224798621246
