
SNOMED Id1;SNOMED Id1;Rada;AncSPLRada
445554007;14950009;-2.5;-2.5
236559006;117605004;-4.0;-4.5
301119002;18540005;-3.0;-3.0
95186006;427957004;-7.0;-7.0
765721008;14924005;-3.5;-3.5
293144001;79228001;-4.0;-4.5
296248000;385347004;-3.5;-3.5
203987001;718743003;-4.0;-4.0
405812002;290211000119105;-3.5;-4.5
128133004;1092001;-4.0;-4.0
129098000;5870006;-3.0;-4.0
387723007;128419007;-5.0;-5.5
413628001;372269006;-5.5;-5.5
110411008;255401001;-4.0;-4.0
272700008;15710121000119100;-5.0;-5.0
41366005;1822007;-3.5;-4.0
368482006;786808008;-4.5;-7.0
85813009;701849007;-5.0;-6.0
216665008;78415004;-3.5;-3.5
731847005;762889007;-4.5;-6.0
699295007;121311000;-3.0;-3.0
388535005;242803007;-9.0;-9.0
285501000119103;180740003;-8.0;-8.0
28428009;441318004;-6.5;-6.5
75915005;462423007;-5.0;-6.0
199227004;63620009;-3.0;-3.0
715182007;360146007;-3.0;-4.5
3651000146104;445472003;-6.0;-6.0
111322000;293844004;-3.5;-4.0
288122006;39402007;-4.5;-6.0
105711001;106993004;-7.5;-7.5
313947001;464971002;-5.0;-5.5
28964004;11802691000119106;-4.5;-8.0
283521006;306369004;-5.5;-7.0
45847006;426809000;-6.5;-6.5
408467006;109597009;-4.5;-5.5
261364001;260329000;-4.0;-4.0
229353001;20291009;-5.0;-5.0
773959421000087107;465590008;-5.0;-5.0
735336002;449835009;-5.0;-6.0
79932002;84843001;-6.0;-6.0
442908000;74174006;-6.0;-6.0
177090001;4108005;-7.5;-7.5
278319009;283384001;-5.5;-7.5
9090007;778949006;-4.0;-5.0
784810007;1061000124103;-2.5;-2.5
262314005;32860006;-7.0;-7.5
225617001;422067003;-3.5;-3.5
445252005;418267001;-4.5;-4.5
297648000;246204006;-3.5;-3.5
190280006;714562005;-6.0;-6.0
429840006;369688009;-6.0;-6.5
233458009;230937006;-2.0;-2.5
432734004;39190001;-8.5;-10.0
87485004;472919007;-4.0;-4.5
253633003;158939004;-5.0;-5.5
94779002;408449004;-4.5;-4.5
83288003;54171004;-5.5;-5.5
91320004;361421008;-7.0;-8.5
30089001;7256003;-9.5;-9.5
44898005;68887009;-5.5;-5.5
399919001;265075002;-5.5;-6.0
244584005;781765004;-5.0;-6.0
283734005;439142009;-6.0;-6.0
98311000119105;309092005;-5.5;-5.5
296673005;3298001;-2.5;-2.5
23913003;75610003;-2.0;-4.0
255800009;94345000;-4.5;-4.5
297223007;181152008;-3.5;-6.0
371576000;468532002;-3.5;-3.5
105554008;45645001;-6.5;-7.0
18512000;440669000;-4.0;-5.0
120003008;309050000;-2.5;-2.5
365958005;162824006;-4.5;-5.0
727150007;45523007;-6.5;-7.5
399491007;70795003;-3.5;-3.5
42831000;45072005;-6.0;-7.0
233271009;254687000;-4.5;-4.5
74896003;718976009;-3.5;-3.5
203950009;710664007;-6.0;-6.5
306600007;206214000;-5.0;-5.5
174149007;48367006;-4.5;-5.0
11772691000119102;237473006;-2.5;-4.0
68357005;258432004;-4.0;-5.0
54196001;726330007;-5.5;-6.5
226451001;110994007;-6.0;-6.0
713466003;369816000;-4.5;-5.0
11006841000119102;738283001;-5.5;-5.5
278476005;275831001;-5.5;-6.5
733065003;314735005;-5.0;-5.5
448095003;279036000;-2.0;-2.0
430201000124102;299538002;-4.0;-4.5
26351002;85093009;-4.0;-5.0
301204007;259074009;-5.5;-6.0
224693005;169507009;-6.5;-6.5
5616006;232762008;-1.5;-3.0
72575001;131834006;-9.0;-9.0
719683006;78716002;-4.0;-4.0
10367002;318484005;-6.0;-6.0
95915001;245366004;-6.0;-6.5
69222004;470675000;-6.5;-8.0
780413009;261972005;-3.0;-3.0
18662002;702453002;-4.0;-5.0
259606009;209469000;-5.5;-5.5
447883002;465886002;-5.5;-7.0
432916006;128476009;-6.0;-7.5
443006;438177001;-7.5;-8.5
298022006;412820002;-4.5;-4.5
230238009;76212007;-6.0;-6.5
411630007;284899001;-5.0;-5.0
419592009;423451008;-4.5;-5.0
334246001;306775006;-5.0;-5.0
438326004;193440001;-5.5;-7.0
767578001;428644008;-4.0;-4.0
103396006;297879003;-3.0;-3.0
711574005;125359007;-5.5;-7.5
37980001;429682008;-6.0;-6.5
725475002;40251004;-8.0;-8.5
449552004;411149005;-6.5;-7.0
65698008;731227006;-5.0;-7.0
441507000;10215003;-7.0;-7.0
215108001;283089004;-5.0;-5.0
713729005;114222004;-6.5;-8.0
309681005;18581002;-8.0;-8.5
311735009;348046004;-3.0;-3.0
103447002;402796000;-5.5;-5.5
426563007;32651000119109;-7.5;-7.5
297999005;283655004;-2.5;-3.5
446811003;257169006;-6.0;-6.5
390904005;7011000119105;-5.0;-6.5
77102001;434883006;-6.0;-6.0
36403001;106620005;-7.5;-8.5
11262000;93589005;-6.0;-8.0
780456004;787460004;-3.0;-3.0
49913004;722407002;-3.5;-3.5
21531000087101;58680005;-6.0;-6.0
115705006;2648004;-3.0;-3.0
368154005;63751007;-6.5;-7.5
86318000;8855009;-4.5;-4.5
173095007;427216002;-5.0;-5.5
331408006;710811005;-5.0;-5.0
427085004;294351008;-5.5;-5.5
191293008;733326007;-2.5;-3.0
227181007;329484004;-4.5;-4.5
34613001;239693001;-6.5;-6.5
781299002;84747008;-5.0;-5.0
285606005;200302000;-2.5;-3.0
53967007;728017006;0.0;0.0
16181000087109;783690003;-4.5;-5.0
8279000;185555007;-4.5;-5.0
410402005;66818003;-4.0;-5.0
69330000;385393001;-3.5;-3.5
459168005;72610007;-4.5;-4.5
313701000119100;39801007;-4.0;-5.0
109212003;609637006;-3.5;-4.0
91628004;428547005;-6.0;-6.0
20851000;787540009;-5.5;-5.5
161573009;359736007;-5.0;-5.5
716069007;81732000;-1.5;-1.5
439297006;391902001;-9.0;-9.5
15841002;199470001;-4.0;-5.0
364818002;35797001;-3.5;-3.5
767852001;712697004;-2.5;-3.5
317315001;226275003;-5.0;-5.0
253499008;726739006;-4.0;-5.0
106024000;85961003;-5.5;-6.5
438735008;314933009;-9.0;-10.5
385354005;59733002;-2.5;-2.5
262601001;16308000;-5.5;-7.0
