
GO Id1;GO Id1;CosineNormWeightedJiangConrath;AncSPLCosineNormWeightedJiangConrath
GO:1904111;GO:0019115;0.0032475523859827327;0.0032475523859827327
GO:0042194;GO:0031117;0.006406050547831943;0.0019093682610994422
GO:0055047;GO:1905895;0.004460211044545748;0.0019093682610994422
GO:0051368;GO:1903703;0.0176607500503404;0.0176607500503404
GO:1903754;GO:0090353;0.0;0.0
GO:1902684;GO:0030023;0.0;0.0
GO:0015379;GO:0072022;0.016577500112365695;0.016577500112365695
GO:0048386;GO:0034819;0.0;0.0
GO:0072067;GO:0044099;0.0012931823312720692;0.0012931823312720692
GO:0102299;GO:0042235;0.0012931823312720692;0.0012931823312720692
GO:0018231;GO:0030199;0.02844366653775854;0.02844366653775854
GO:2000891;GO:0031050;0.1485929343965654;0.1485929343965654
GO:0010899;GO:0009213;0.04436871472423831;0.022893890583105425
GO:0009558;GO:0003810;0.0;0.0
GO:0018528;GO:0070811;0.0;0.0
GO:0005165;GO:0010457;0.011618581785407534;0.011618581785407534
GO:0032449;GO:0034143;0.0032475523859827327;0.0032475523859827327
GO:1903098;GO:0098831;0.0;0.0
GO:0046624;GO:0047611;0.06582746156352959;0.06582746156352959
GO:0009135;GO:0046506;0.28786924359515653;0.2439838490434083
GO:0090600;GO:0004023;0.047958620269466734;0.047958620269466734
GO:0102468;GO:0007110;0.0;0.0
GO:0036280;GO:0018414;0.04654884360867051;0.04654884360867051
GO:0086087;GO:0010884;0.0032475523859828437;0.0032475523859828437
GO:0006370;GO:0050901;0.0176607500503404;0.0176607500503404
GO:0031529;GO:0035695;0.1892329094866526;0.13984028610818144
GO:1905849;GO:1902145;0.1550613290046422;0.07237700114807422
GO:0102485;GO:0101024;0.0;0.0
GO:0001865;GO:0032526;0.03603960830281172;0.006340278250601017
GO:0008294;GO:0006546;0.00516938468400463;0.00516938468400463
GO:0045725;GO:0071163;0.013341154631028695;0.013341154631028695
GO:0047163;GO:0019254;0.0;0.0
GO:0034977;GO:0042370;0.0;0.0
GO:0071665;GO:0016114;0.0451518112175181;0.0451518112175181
GO:1901104;GO:0061889;0.010124569335015154;0.010124569335015154
GO:1902456;GO:1905241;0.057899316899306164;0.05107521365983947
GO:0044719;GO:0034531;0.0032475523859827327;0.0032475523859827327
GO:0021568;GO:0046463;0.013341154631028695;0.013341154631028695
GO:0071860;GO:0050383;0.020662108306691795;0.020662108306691795
GO:0039652;GO:0110119;0.045796135447708664;0.02002507638183415
GO:0006833;GO:0031564;0.06269070351463013;0.020856219681191446
GO:0045595;GO:0015652;0.1480724099229056;0.1480724099229056
GO:0007266;GO:0005654;0.0012931823312720692;0.0012931823312720692
GO:0005632;GO:0043372;0.011618581785407645;0.011618581785407645
GO:0047580;GO:0002490;0.0;0.0
GO:0010192;GO:1902405;0.06885909272384161;0.06311246517854052
GO:0045284;GO:0009838;0.006965400670702615;0.006965400670702615
GO:1990473;GO:0045033;0.0;0.0
GO:0047133;GO:0001321;0.0;0.0
GO:0034166;GO:0045107;0.01766075005034029;0.01766075005034029
GO:0150103;GO:0039717;0.0;0.0
GO:0060095;GO:0008476;0.0;0.0
GO:0061684;GO:1905216;0.016138981113738238;0.016138981113738238
GO:0018232;GO:0033398;0.1143373410838715;0.1143373410838715
GO:1903563;GO:0061827;0.0;0.0
GO:2001114;GO:0006919;0.1128090404114136;0.10999102515547099
GO:0072219;GO:1903973;0.006340278250601017;0.006340278250601017
GO:0046425;GO:0047970;0.016577500112365695;0.016577500112365695
GO:0046186;GO:0009804;0.16000801828359834;0.11544047906782196
GO:0090551;GO:0097197;0.0;0.0
GO:0086094;GO:0098024;0.0;0.0
GO:0090379;GO:0006111;0.010124569335015154;0.010124569335015154
GO:0003163;GO:0019779;0.0;0.0
GO:0004518;GO:0001184;0.05844044353858535;0.05844044353858535
GO:0034568;GO:0036296;0.00516938468400463;0.00516938468400463
