
GO Id1;GO Id1;Rada;AncSPLRada
GO:1902965;GO:0070092;-2.5;-3.0
GO:0090336;GO:0072619;-4.0;-5.5
GO:0046842;GO:0102583;-5.5;-6.0
GO:2000060;GO:1990518;-6.5;-7.0
GO:2000287;GO:0061358;-2.0;-2.5
GO:0018805;GO:0016229;-1.5;-1.5
GO:0002676;GO:0031026;-5.0;-5.0
GO:1900929;GO:0018344;-3.5;-4.0
GO:0098807;GO:1901383;-4.5;-4.5
GO:0034074;GO:0050982;-4.5;-4.5
GO:0033881;GO:0044406;-4.0;-4.0
GO:1901361;GO:0031177;-3.5;-3.5
GO:0034440;GO:1904758;-3.5;-4.0
GO:0033352;GO:0017168;-5.0;-5.0
GO:0021521;GO:0098962;-4.0;-4.0
GO:0102445;GO:0102681;-2.5;-3.0
GO:0019289;GO:0090502;-3.0;-3.0
GO:0050176;GO:0043924;-4.0;-4.0
GO:0046544;GO:0061182;-3.0;-4.5
GO:0062089;GO:0001874;-4.5;-4.5
GO:0060263;GO:0102122;-4.5;-4.5
GO:0044132;GO:1902396;-3.0;-4.0
GO:0050767;GO:0036416;-3.0;-3.0
GO:0036432;GO:0050677;-6.5;-6.5
GO:0005451;GO:2000664;-6.0;-6.5
GO:1901951;GO:0036444;-3.5;-5.0
GO:0061576;GO:0061141;-4.0;-4.0
GO:0042398;GO:0006085;-1.0;-1.5
GO:0010864;GO:2001015;-3.0;-4.0
GO:0044197;GO:0016300;-3.5;-3.5
GO:2000580;GO:0000715;-4.0;-5.0
GO:0060054;GO:0032229;-3.0;-3.0
GO:0007041;GO:0018361;-3.0;-3.0
GO:1904421;GO:0098771;-3.0;-4.0
GO:0006707;GO:0010030;-4.0;-4.5
GO:0061580;GO:0098818;-4.0;-5.0
GO:0010811;GO:0090439;-5.5;-5.5
GO:0018130;GO:1901257;-2.5;-4.0
GO:0015367;GO:1905216;-5.5;-6.0
GO:0071826;GO:0003678;-4.0;-4.0
GO:0061097;GO:0000120;-4.0;-5.0
GO:0106259;GO:0071716;-4.0;-6.0
GO:0071361;GO:0048829;-3.0;-3.0
GO:0000993;GO:0102040;-4.0;-4.0
GO:0032504;GO:0099095;-4.0;-4.0
