
GO Id1;GO Id1;LeacockChodorow;AncSPLLeacockChodorow
GO:1900306;GO:0001777;0.6131044728864089;0.6131044728864089
GO:1904793;GO:0009851;0.8754687373538999;0.8754687373538999
GO:0070548;GO:0072280;0.5389965007326869;0.5389965007326869
GO:1904300;GO:1901227;1.2321436812926323;0.8754687373538999
GO:1904340;GO:0031380;0.40546510810816444;0.2876820724517809
GO:0008907;GO:0046219;0.6931471805599453;0.6931471805599453
GO:0052094;GO:0030901;1.2321436812926323;1.2321436812926323
GO:2000022;GO:1900171;1.791759469228055;1.791759469228055
GO:0030976;GO:1990340;0.9808292530117262;0.9808292530117262
GO:1900840;GO:1902831;0.9808292530117262;0.7801585575495751
GO:0018301;GO:0005088;0.6931471805599453;0.6931471805599453
GO:0060213;GO:0052887;0.4700036292457356;0.3448404862917295
GO:1990405;GO:0003978;0.9808292530117262;0.9808292530117262
GO:0006607;GO:1990736;0.8754687373538999;0.6931471805599453
GO:0102626;GO:0120185;0.6131044728864089;0.4700036292457356
GO:0030679;GO:0030281;0.8754687373538999;0.8754687373538999
GO:0050321;GO:0140068;1.0986122886681098;0.8754687373538999
GO:0032534;GO:0052820;0.4700036292457356;0.4700036292457356
GO:0010256;GO:0097063;0.9808292530117262;0.9808292530117262
GO:0003278;GO:0010280;0.6931471805599453;0.6131044728864089
GO:0046187;GO:0031363;1.0986122886681098;0.9808292530117262
GO:1900549;GO:0090481;1.0986122886681098;1.0986122886681098
GO:0034611;GO:0099699;0.6931471805599453;0.6931471805599453
GO:0090669;GO:0071369;0.7801585575495751;0.7801585575495751
GO:0003913;GO:0048747;0.6931471805599453;0.6931471805599453
GO:0045486;GO:0001985;0.6131044728864089;0.6131044728864089
GO:0032152;GO:1903761;0.6131044728864089;0.6131044728864089
GO:0072164;GO:0038011;0.7801585575495751;0.7801585575495751
GO:0060578;GO:0018085;0.6931471805599453;0.6931471805599453
GO:0006769;GO:0045538;0.8754687373538999;0.6931471805599453
GO:0034281;GO:0000466;0.3448404862917295;0.2336148511815052
GO:0050704;GO:0098624;0.6931471805599453;0.6931471805599453
GO:0006006;GO:1900498;0.7801585575495751;0.6131044728864089
GO:0033701;GO:1901326;0.6931471805599453;0.6931471805599453
GO:0036289;GO:0021858;0.7801585575495751;0.6131044728864089
GO:0070016;GO:0051877;0.6131044728864089;0.6131044728864089
GO:0090028;GO:0052604;0.6931471805599453;0.6131044728864089
GO:0003958;GO:1900583;0.6931471805599453;0.6931471805599453
GO:0043113;GO:2001010;1.0986122886681098;0.7801585575495751
GO:0000921;GO:1901876;1.0986122886681098;0.7801585575495751
GO:0110162;GO:0031904;0.4700036292457356;0.4700036292457356
GO:0001956;GO:0061076;1.2321436812926323;0.9808292530117262
GO:0060281;GO:0072552;0.5389965007326869;0.5389965007326869
GO:1901296;GO:1990160;0.5389965007326869;0.4700036292457356
GO:2000291;GO:1900109;0.8754687373538999;0.8754687373538999
GO:0043354;GO:2000327;0.8754687373538999;0.8754687373538999
GO:2000432;GO:0000244;0.7801585575495751;0.4700036292457356
GO:0008275;GO:1901128;0.7801585575495751;0.7801585575495751
GO:0010617;GO:0044346;1.0986122886681098;0.9808292530117262
GO:1990812;GO:0102447;0.6131044728864089;0.6131044728864089
GO:0008016;GO:0001118;0.8754687373538999;0.5389965007326869
GO:0019592;GO:0019434;0.8754687373538999;0.8754687373538999
GO:0030118;GO:0060052;0.7801585575495751;0.7801585575495751
GO:0043815;GO:0050089;0.9808292530117262;0.9808292530117262
GO:0010585;GO:2001096;0.9808292530117262;0.9808292530117262
GO:0033756;GO:0031768;0.7801585575495751;0.7801585575495751
GO:0044585;GO:1902443;0.4700036292457356;0.4700036292457356
GO:0102499;GO:0071414;0.6131044728864089;0.6131044728864089
GO:0033255;GO:0032966;0.2336148511815052;0.1823215567939546
GO:0032414;GO:0008070;0.8754687373538999;0.8754687373538999
GO:0072580;GO:0043051;0.6931471805599453;0.4700036292457356
GO:1904718;GO:2001160;0.7801585575495751;0.7801585575495751
GO:0140429;GO:0032708;0.8754687373538999;0.7801585575495751
GO:0005502;GO:0046780;0.6131044728864089;0.40546510810816444
GO:0016699;GO:1990408;0.6931471805599453;0.6931471805599453
GO:0061485;GO:0004415;0.5389965007326869;0.4700036292457356
GO:0015355;GO:0040011;0.9808292530117262;0.9808292530117262
GO:0015478;GO:0005865;0.7801585575495751;0.7801585575495751
GO:0048007;GO:0009201;0.8754687373538999;0.6931471805599453
GO:0015131;GO:0035788;0.5389965007326869;0.4700036292457356
GO:0045830;GO:1901535;1.5686159179138452;1.5686159179138452
GO:0070239;GO:0036163;0.7801585575495751;0.7801585575495751
GO:0030651;GO:1903922;0.8754687373538999;0.4700036292457356
GO:0004386;GO:0005548;1.0986122886681098;0.6931471805599453
GO:1902694;GO:0007451;0.8754687373538999;0.8754687373538999
GO:0051299;GO:1902985;1.791759469228055;1.791759469228055
GO:0060536;GO:0046067;0.6931471805599453;0.6931471805599453
GO:1903729;GO:0061209;1.0986122886681098;0.8754687373538999
GO:0006357;GO:0009522;0.8754687373538999;0.5389965007326869
GO:1900533;GO:0009422;0.7801585575495751;0.7801585575495751
GO:0099180;GO:1902203;0.6931471805599453;0.4700036292457356
GO:0050354;GO:0047774;1.0986122886681098;0.9808292530117262
GO:0048874;GO:0048908;0.8754687373538999;0.6931471805599453
GO:0003029;GO:0006699;0.7801585575495751;0.7801585575495751
GO:0030695;GO:0001163;0.8754687373538999;0.7801585575495751
GO:0016344;GO:0043548;0.9808292530117262;0.9808292530117262
